numero,empresa,cnpj,forma_do_registro,modalidade,objeto,gestor,fiscal_tecnico,fiscal_administrativo,ato_de_nomeacao,valor,data_inicio,data_termino,vigencia_na_colheita,empresa_sancionada,recebeu_ordem_bancaria,as_of
076-24,P. CHELES COMERCIO E SERVICOS LTDA,48199907000158,cnpj,Pregão,"Para prestação de serviços de retirada de acervo, guarda organizada temporária da documentação, atendimento a pesquisas relativas à documentação armazenada e devolução do acervo para a Câmara Legislativa do Distrito Federal  CLDF, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",Luiz Eduardo de Oliveira Souto / Willy Ferraz de Oliveira,Cesar Augusto Scopinho / Glaucio Fernando Beserra Pinheiro / Leonardo de Assis Borges / Luis Gustavo Bonifacio Gomes / Roberto Massaru Sanbuichi / Bruno Gurgel de Oliveira Santos / Edison Miranda Junior / Eduardo Correa Rodrigues / Michel Alves da Silva / Roger Lemos Santos,,"PSG nº 276, de 28/11/2024, DCL nº 264, de 03/12/2024","18.017,00",2024-11-18,2025-05-17,encerrado,não,sim,2026-06-26T15:56:41
072-24,DF ELETROTECNICA COMERCIO MANUTENCAO E LOCACAO DE EQUIPAMENTOS ELETRICOS LTDA,31170338000115,cnpj,Pregão,"Aquisição de equipamentos, materiais e insumos de instalação, para atualização tecnológica dos recursos audiovisuais da Câmara Legislativa do Distrito Federal - CLDF, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",,Cesar Augusto Scopinho / Luis Gustavo Bonifacio Gomes,,"PSG nº 279, de 28/11/2024, DCL nº 264, de 03/12/2024","865,50",2024-11-19,2025-05-18,encerrado,não,sim,2026-06-26T15:56:41
069-24,ALESANDRA CIRILO CABOS IMPORTACAO E EXPORTACAO LTDA,30925451000109,cnpj,Pregão,"Para prestação de serviços de retirada de acervo, guarda organizada temporária da documentação, atendimento a pesquisas relativas à documentação armazenada e devolução do acervo para a Câmara Legislativa do Distrito Federal  CLDF, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",Luiz Eduardo de Oliveira Souto / Willy Ferraz de Oliveira,Cesar Augusto Scopinho / Glaucio Fernando Beserra Pinheiro / Leonardo de Assis Borges / Luis Gustavo Bonifacio Gomes / Roberto Massaru Sanbuichi / Bruno Gurgel de Oliveira Santos / Edison Miranda Junior / Eduardo Correa Rodrigues / Michel Alves da Silva / Roger Lemos Santos,,"PSG nº 276, de 28/11/2024, DCL nº 264, de 03/12/2024","39.516,73",2024-11-22,2025-05-21,encerrado,não,sim,2026-06-26T15:56:41
078-24,CCS MOREIRA COMERCIO DE FOTOGRAFIA E VIDEO,31968451000140,cnpj,Pregão,"Para prestação de serviços de retirada de acervo, guarda organizada temporária da documentação, atendimento a pesquisas relativas à documentação armazenada e devolução do acervo para a Câmara Legislativa do Distrito Federal  CLDF, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",Luiz Eduardo de Oliveira Souto / Willy Ferraz de Oliveira,Cesar Augusto Scopinho / Glaucio Fernando Beserra Pinheiro / Leonardo de Assis Borges / Luis Gustavo Bonifacio Gomes / Roberto Massaru Sanbuichi / Bruno Gurgel de Oliveira Santos / Edison Miranda Junior / Eduardo Correa Rodrigues / Michel Alves da Silva / Roger Lemos Santos,,"PSG nº 276, de 28/11/2024, DCL nº 264, de 03/12/2024","12.158,72",2024-11-25,2025-05-24,encerrado,não,sim,2026-06-26T15:56:41
083-24,ESTRUTTOS LTDA,17839055000192,cnpj,Dispensa,"Aquisição de bobinas de fibra ótica, ferramentas e conectores para cabos de fibra ótica e rede, cabos/extensor USB e fitas rotula objetivando a modernização dos recursos audiovisuais da CLDF",,Eduardo Corrrea Rodrigues / Luis Gustavo Bonifácio Gomes,,"PSG nº 282, de 29/11/2024, DCL nº 264, de 03/12/2024","1.085,52",2024-11-28,2025-05-27,encerrado,não,sim,2026-06-26T15:56:41
ARP 006-24,SHV INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA,01002812000139,cnpj,Ata de Registro de Preço,"Fornecimento de mobiliário padrão para a Câmara Legislativa do Distrito Federal, em Brasília-DF, conforme quantidades, exigências, estimativas e condições estabelecidas no Termo de Referência - Anexo I do Edital.",,Rodrigo Bernardino Loiola / Marcus Vinícius de Oliveira,,"PSG nº 225, de 12/10/2024, DCL nº 227, de 16/10/2024","289.825,00",2024-06-03,2025-06-03,encerrado,não,sim,2026-06-26T15:56:41
077-24,EAS SOLUCOES E SERVICOS LTDA,42166294000176,cnpj,Pregão,"Para prestação de serviços de retirada de acervo, guarda organizada temporária da documentação, atendimento a pesquisas relativas à documentação armazenada e devolução do acervo para a Câmara Legislativa do Distrito Federal  CLDF, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",,Cesar Augusto Scopinho / Glaucio Fernando Beserra Pinheiro,,"PSG n. 288 de 09/12/2024, DCL n. 273, de 12/12/2024","5.902,90",2024-12-09,2025-06-08,encerrado,não,sim,2026-06-26T15:56:41
023-24,AFEFE TURISMO LTDA,53431363000148,cnpj,Pregão,"Prestação de serviços de agenciamento de viagens, pelo período de 12 meses, compreendendo cotação de preços, reserva, marcação/remarcação, emissão e fornecimento de bilhetes de passagens aéreas nacionais e internacionais, incluindo o pagamento da taxa de embarque e a aquisição de seguro-viagem internacional.",,Yan Nunes Rangel Costa / Wellington Nonato Coelho Duarte,,"PSG nº 145 de 14/06/2024, DCL nº 130 de 18/06/2024","227.166,40",2024-06-10,2025-06-10,encerrado,sim,sim,2026-06-26T15:56:41
021-24,IOB INFORMACOES OBJETIVAS PUBLICACOES JURIDICAS LTDA,43217850000159,cnpj,Inexigibilidade,"Assinatura anual dos produtos IOB/Síntese, que contempla a plataforma IOB Online, a Revista Síntese de Direito Administrativo e a Revista Jurídica, ambas impressas, e a plataforma SínteseNet Jurídico, com conteúdos informacionais das áreas tributárias e jurídicas.",,Cleide Cristina Soares / Franciane Santana Grimaldi de Oliveira,,"PSG nº 146, de 19/06/2024, DCL nº 133, de 20/06/2024.","8.505,40",2024-06-11,2025-06-11,encerrado,não,sim,2026-06-26T15:56:41
017-23,PARTNER SECURITY SERVICOS DE SEGURANCA LTDA,12817803000465,cnpj,Pregão,Prestação de serviços contínuos e sob demanda de vigilância patrimonial (armada e desarmada) para a preservação do patrimônio público e a segurança dos servidores e do público em geral no edifício e em áreas da CLDF.,Iverson Thiago de Sousa Oliveira / Hudson de Araújo Lopes,José Gonçalo da Silva Neto / Rafael Maurício Corrêa,Eduardo Rodrigues Clemente / Diomar Gonçalves Sirqueira,"PSG nº 84 de 10/04/2024, DCL nº 74, de 12/04/2024.","5.147.440,08",2025-03-18,2025-06-17,encerrado,não,sim,2026-06-26T15:56:41
028-24,L.A. PISOS ELEVADOS LTDA,22075021000109,cnpj,Pregão,"Fornecimento e instalação de piso elevado em placa de granito, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",,Marcelo Augusto Fernandes / Vinícius Teixeira Tambara,,"PSG nº 150, de 24/06/2024. DCL nº 139, de 27/06/2024","181.599,92",2024-06-18,2025-06-18,encerrado,não,sim,2026-06-26T15:56:41
041-24,JR COMERCIOS E VIDROS LTDA,12500834000145,cnpj,Pregão,"Contratação de empresa especializada para prestação de serviço de engenharia para execução de um pergolado metálico com cobertura de vidro, forro ripado de madeira e execução de piso de granito, junto ao restaurante objeto do acordo de cooperação técnica nº 12/2024 entre a CLDF e o SESC, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",Hugo Pierre Lapa / Bairon Emiliano Pereira Da Silva,Marcelo Augusto Fernandes / Vinicius Teixeira Tambara / João Lucas Santos Flores / Luiz Marino Küller,,"PSG nº 214, de 23/09/2024. DCL nº 211, de 25/09/2024","294.661,16",2024-09-20,2025-06-20,encerrado,não,sim,2026-06-26T15:56:41
012-20,ALGAR SOLUÇÕES EM TIC S/A,22166193000198,cnpj,Pregão,Contratação de link de dados de 2Gbps para acesso dedicado à Internet com serviços anti DoS.,,,,,"43.299,96",2020-06-26,2025-06-25,encerrado,não,sim,2026-06-26T15:56:41
ARP 002-23,DFLORES - FLORES E PLANTAS LTDA,29853493000194,cnpj,Ata de Registro de Preço,"Contratação de empresa especializada para prestação de serviço de ornamentação, para fornecimento de arranjos de flores e materiais de decoração correlatos",,Ana Paula de Andrade Aguiar / Ana Carolina Santos Fontes,,"PSG nº 169, de 12/06/2026, DCL nº 120, de 15/06/2026","121.035,15",2024-06-29,2025-06-28,encerrado,não,sim,2026-06-26T15:56:41
001-25,GLOBAL COMERCIO ONLINE LTDA,47211967000186,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",Luiz Eduardo de Oliveira Souto / Willy Ferraz de Oliveira,Cesar Augusto Scopinho / Leonardo de Assis Borges / Bruno Gurgel de Oliveira dos Santos / Michel Alves da Silva,,"PSG nº 28, de 05/02/2025, DCL nº 30, de 10/02/2025","14.394,99",2025-01-03,2025-07-03,encerrado,não,sim,2026-06-26T15:56:41
006-25,AV CONECT SOLUCOES INTEGRADAS LTDA,45078161000136,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",Luiz Eduardo de Oliveira Souto / Willy Ferraz de Oliveira,Cesar Augusto Scopinho / Leonardo de Assis Borges / Bruno Gurgel de Oliveira dos Santos / Michel Alves da Silva,,"PSG nº 28, de 05/02/2025, DCL nº 30, de 10/02/2025","2.536,00",2025-01-03,2025-07-03,encerrado,não,sim,2026-06-26T15:56:41
ARP 008-24,NARA COMERCIAL DE ALIMENTOS LTDA,04041085000107,cnpj,Ata de Registro de Preço,"Aquisição de copos biodegradáveis para água e café, por meio do sistema de registro de preços, para atendimento das demandas da Câmara Legislativa do Distrito Federal (CLDF), de acordo com as quantidades, as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",,Maria da Penha de Araújo / Rodrigo Loiola Bernardino,,"PSG nº 159, de 08/07/2024, DCL nº 148, de 10/07/2024","66.363,40",2024-07-05,2025-07-04,encerrado,não,sim,2026-06-26T15:56:41
014-20,QUALIFICAR - GESTÃO TERCEIRIZADA DE SERVIÇOS CORPORATIVOS E TECNOLOGIA EIRELI.,26963645000113,cnpj,Pregão,Contratação de fornecedor para prestação de serviços técnicos especializados para pronto atendimento a usuários de TI da CLDF.,Ricardo Augusto Lobo / Ricardo Campos Silva,Manoel Carlos Pereira / Ornélio Oliveira dos Santos,Vanessa Santana Anziliero,"PSG n. 256 de 04/10/2023, DCL n. 216 de 05/10/2023","387.549,12",2024-07-06,2025-07-05,encerrado,não,não,2026-06-26T15:56:41
002-25,MAX QUALITY COMERCIO LTDA,42810782000174,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",Luiz Eduardo de Oliveira Souto / Willy Ferraz de Oliveira,Cesar Augusto Scopinho / Leonardo de Assis Borges / Bruno Gurgel de Oliveira dos Santos / Michel Alves da Silva,,"PSG nº 28, de 05/02/2025, DCL nº 30, de 10/02/2025","3.613,96",2025-01-06,2025-07-06,encerrado,não,sim,2026-06-26T15:56:41
022-20,TECNISYS INFORMÁTICA E ASSESSORIA EMPRESARIAL LTDA.,26963645000113,cnpj,Pregão,"Contratação de serviços de qualidade de produtos de software e de processos de engenharia de software para a CLDF conforme condições, especificações a quantidades referentes ao LOTE 2 do Termo de Referência.",Wagner Lopes Dias / Luís Felipe Rabello Taveira,Ana Clelia Milhomem Ramos / Ronie Paulucio Porfirio,Thais Monteiro Predebon / Jan Riella,"PSG nº 241, de 30/10/2024, DCL n.238, de 31/10/2024","304.214,40",2024-07-09,2025-07-08,encerrado,não,não,2026-06-26T15:56:41
004-25,DOUBLE SOLUCOES E TECNOLOGIA LTDA,26587509000176,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",Willy Ferraz de Oliveira / Luiz Eduardo de Oliveira Souto,Leonardo de Assis Borges / Eduardo Correa Rodrigues / Edison Miranda Junior / Cesar Augusto Scopinho,,"PSG nº. 10, de 16/01/2025, DCL nº. 16, de 21/01/2025","2.176,00",2025-01-13,2025-07-13,encerrado,não,sim,2026-06-26T15:56:41
005-25,GUSTAVO GONZAGA DOS SANTOS,28426824000147,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",Willy Ferraz de Oliveira / Luiz Eduardo de Oliveira Souto,Leonardo de Assis Borges / Eduardo Correa Rodrigues / Edison Miranda Junior / Cesar Augusto Scopinho,,"PSG nº. 10, de 16/01/2025, DCL nº. 16, de 21/01/2025","2.437,50",2025-01-14,2025-07-14,encerrado,não,sim,2026-06-26T15:56:41
007-25,PEDRO HENRIQUE PINHEIRO DA CONCEICAO,52299142000103,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",Willy Ferraz de Oliveira / Luiz Eduardo de Oliveira Souto,Leonardo de Assis Borges / Eduardo Correa Rodrigues / Edison Miranda Junior / Cesar Augusto Scopinho,,"PSG nº. 10, de 16/01/2025, DCL nº. 16, de 21/01/2025","4.278,94",2025-01-14,2025-07-14,encerrado,não,sim,2026-06-26T15:56:41
031-24,SEGUROS SURA S.A,33065699000127,cnpj,Dispensa,"Contratação de empresa especializada em seguro automotivo com cobertura compreensiva (colisão, incêndio e roubo) e cobertura a terceiros (danos materiais e pessoais), para 02 (dois) veículos da frota da CLDF",,Osmar Rodrigues Da Silva / Wesley Soares De Lima,,"PSG nº 168, de 26/07/2024, DCL nº 164, de 30/07/2024","4.636,00",2024-08-01,2025-08-01,encerrado,não,sim,2026-06-26T15:56:41
ARP 010-24,ALEGRENSE DISTRIBUIDORA E REPRESENTACAO COMERCIAL LTDA,39564618000110,cnpj,Ata de Registro de Preço,"Aquisição de canetas para expediente para atendimento das demandas da CLDF, conforme a quantidade e especificações constantes no Anexo I do Termo de Referência  Anexo I do Edital.",,Maria da Penha de Araújo / Rodrigo Loiola Bernardino,,"PSG nº 192 de 19/08/2024, DCL nº 182 de 21/08/2024","1.629,00",2024-08-15,2025-08-15,encerrado,não,sim,2026-06-26T15:56:41
003-25,MCS COMERCIO E SERVICOS INTEGRADOS LTDA,37630109000112,cnpj,Dispensa,"Aquisição de equipamentos e itens de audiovisual, eletrônica e suportes para equipamentos de vídeo, objetivando a modernização dos recursos audiovisuais da CLDF",,César Augusto Scopinho / Leonardo de Assis Borges,,"PSG n. 48 de 28/02/2025, DCL n. 46, de 07/03/2025.","1.593,84",2025-02-20,2025-08-20,encerrado,não,sim,2026-06-26T15:56:41
ARP 005-23,MILLENNIUM EVENTOS EIRELI,13922714000107,cnpj,Ata de Registro de Preço,"Contratação de serviços de organização de eventos e correlatos, a serem realizados em atividades internas e externas institucionais da Câmara Legislativa do Distrito Federal, no Distrito Federal",Diego Araujo Silva / Daniela Priscila de Oliveira Veronezi,Rodrigo Schiavon Gonçalves da Silva / Clarissa Queiroz Soares Lindoso; Roberto Massaru Sanbuichi / Luiz Eduardo de Oliveira Souto; Flávio Azevedo Mineiro / Iverson Thiago de Sousa Oliveira; Fabiana Yuka Fujimoto / Jéssica Gonçalvez da Silva; Osmar Rodrigues da Silva / Wesley Soares de Lima.,Luciana Reis de Medeiros Guimarães / Ana Paula de Andrade Aguiar,"PSG nº 53, de 11/03/24, DCL nº 53, de 14/03/24","4.453.540,00",2024-08-28,2025-08-27,encerrado,não,sim,2026-06-26T15:56:41
ACT 008-23,RECICLE A VIDA COOPERATIVA DE TRABALHO DE CATADORES DO DISTRITO FEDERAL,22884599000106,cnpj,Acordo de Cooperação,"Cessão de coletores para descarte de cápsulas de café, embalagens EPS (isopor) e lixo eletrônico, gerados nas dependências da Câmara Legislativa.",,Uirá Felipe Lourenço / Marco Antônio Ferreira Franco,,"PSG n. 222 de 04/09/2023, DCL n. 195 de 11/09/2023",,2024-08-29,2025-08-28,encerrado,não,não,2026-06-26T15:56:41
ARP 004-23,HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA,72649361000174,cnpj,Ata de Registro de Preço,Fornecimento de carimbos e produtos análogos para atender às necessidades da CLDF.,,Flavio Ito Silva / Claudiane Soares Nascimento,,"PSG nº 74, de 26/03/2025, DCL nº 65, de 31/03/2025","4.310,45",2024-09-01,2025-08-31,encerrado,não,sim,2026-06-26T15:56:41
,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA,07522669000192,cnpj,Protocolo de Intenção,Cooperação técnica e institucional entre os partícipes com vistas a aumentar o acesso dos consumidores do Distrito Federal aos serviços da Neoenergia Brasília.,,Yan Nunes Rangel Costa / Jose Gomes da Silva Neto,,"PSG nº 249, de 25/09/23, DCL nº 210, de 27/09/23",,2023-09-12,2025-09-11,encerrado,não,sim,2026-06-26T15:56:41
040-24,BRTOP INDUSTRIA E COMERCIO DE MOVEIS LTDA,03869166000137,cnpj,Pregão,"Fornecimento de sofás de 2 e 3 lugares e poltronas, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital: Item 2: SOFÁ EM COURO PRETO - 3 LUGARES - 1 - R$ 1.750,00 = R$ 1.750,00 Item 3: POLTRONA EM COURO PRETO - 1 LUGAR - 2 - R$ 940,00 = R$ 1.880,00 TOTAL: R$ 3.630,00",,,,,"3.630,00",2024-09-12,2025-09-11,encerrado,não,sim,2026-06-26T15:56:41
031-20,CONSÓRCIO FÁCIL E IMPACTO (REZEK FERREIRA INFORMÁTICA LTDA e IMPACTO AUDITORIA EM SAÚDE LTDA),00881775000113,cnpj,Pregão,"Prestação de serviços de saúde, incluindo auditoria financeira, administrativa e de procedimentos na área médica e odontológica, execução de processos de trabalho, consultoria e assistência presencial, fornecimento de sistema de gestão em saúde",Gina Rubia de Oliveira Alves,Raniere José Dantas Severiano e Diego Ferreira Gar,Ivaldo Vieira de Pádua,"PSG nº 83, de 30/10/20, DCL nº 265, de 04/11/20","2.434.971,26",2024-09-16,2025-09-15,encerrado,não,sim,2026-06-26T15:56:41
578-34,EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS,34028316000707,cnpj,Pregão,Contratação de produtos e serviços por meio de pacote de serviços dos CORREIOS.,,Flavio Ito Silva / Claudiane Soares Nascimento,,"PSG n.138 de 07/06/2024, DCL n. 124, de 11/06/2024","500.000,00",2024-09-18,2025-09-18,encerrado,não,sim,2026-06-26T15:56:41
,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL (CAESB),00082024000137,cnpj,Acordo de Cooperação,"1.1) a cessão de uso dos seguintes sistemas desenvolvidos pela CAESB: Sistema de Gestão de Contratos (GCTO); Sistema de Planejamento e Gestão Orçamentária e Financeira (GPLAN); Sistema de Gestão da Escola Corporativa (GESCOLA); Sistema de Autenticação Integrada (SEGURANCA) e Aplicativo de Autoatendimento. 1.2) A criação e disponibilização, pela CLDF, de painéis de Business Intelligence (BI) que consolidem dados públicos relacionados a temas de interesse da CAESB no âmbito do processo legislativo, podendo incluir, exemplificativamente: Projetos de lei e proposições que versem sobre saneamento ambiental; Emendas orçamentárias destinadas a infraestrutura de água e esgoto; Indicações e requerimentos parlamentares relacionados aos serviços da CAESB",,Cesar Augusto Ribeiro da Fonseca / Airton Bordin Junior,,"PSG nº 46, de 26/02/2026, DCL nº 38 de 27/02/2026.","0,00",2025-06-24,2025-09-23,encerrado,não,sim,2026-06-26T15:56:41
027-22,SERVIX INFORMATICA LTDA,01134191000228,cnpj,Pregão,"Contratação de serviços de monitoramento e gestão de eventos dos ativos de rede e do datacenter da infraestrutura de TI da CLDF, bem como prestação de suporte técnico e configuração da ferramenta de monitoramento pelo período de 12 meses.",Airton Bordin Junior/ Pedro Cunha Rêgo Célestin,Paulo André Valadão de Brito,Thais Monteiro Predebon / Jan Riella,"PSG nº 121, de 25/04/2025, DCL nº 86, de 29/04/2025","116.567,16",2024-09-28,2025-09-27,encerrado,não,sim,2026-06-26T15:56:41
046-21,TORINO INFORMÁTICA LTDA.,03619767000515,cnpj,Pregão,"Aquisição de estações de trabalho (workstations), incluindo em cada equipamento o Sistema Operacional MS Windows 10 Professional.",Ornelio Oliveira dos Santos,Ricardo Augusto Lobo,,"PSG n. 142, de 18/10/2021, DCL n. 223 de 19/10/21","504.002,00",2021-09-28,2025-09-27,encerrado,não,sim,2026-06-26T15:56:41
049-21,TORINO INFORMATICA LTDA,03619767000515,cnpj,Pregão,Contratação de empresa especializada para aquisição de 80 (oitenta) computadores portáteis (notebboks).,Ricardo Augusto Lobo,Ornelio Oliveira dos Santos,,"PSG nº 144, de 20/10/21, DCL nº 225 de 21/10/21","900.000,00",2021-10-06,2025-10-05,encerrado,não,sim,2026-06-26T15:56:41
046-24,QUALITE DISTRIBUIDORA EIRELI,16754240000111,cnpj,Pregão,"Contratação de empresa especializada para a aquisição de materiais eletrônicos e elétricos para a Diretoria de Comunicação Social (DICOM) da Câmara Legislativa do Distrito Federal (CLDF), de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital, proposta apresentada (SEI 1816401) e Termo de Homologação (SEI 1828645).",Ricardo Abrantes Vieira Lopes / Flavio Souza dos Santos,Aimbere Giannaccin / Ronaldo Marciano da Silva,,"PSG nº 245, de 01/11/2024, DCL nº 241, de 05/11/2024","69.969,08",2024-10-15,2025-10-14,encerrado,não,sim,2026-06-26T15:56:41
049-24,EVERTON SILVA DOS SANTOS,43127104000174,cnpj,Pregão,"Contratação de empresa especializada para a aquisição de materiais eletrônicos e elétricos para a Diretoria de Comunicação Social (DICOM) da Câmara Legislativa do Distrito Federal (CLDF), de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital, proposta apresentada (SEI 1816416) e Termo de Homologação (SEI 1828645).",Bruno Sodré de Moraes / Raquel Damasceno Gomes Sigaud Caetano,Carlos André Gomes Gandra / Francisco Ramos Craesmeyer,,"PSG nº 246, de 01/11/2024, DCL nº 241, de 05/11/2024","288.770,00",2024-10-15,2025-10-14,encerrado,não,sim,2026-06-26T15:56:41
050-24,DIGICAST COMERCIO DE EQUIPAMENTOS DE AUDIO E VIDEO LTDA,48115921000126,cnpj,Pregão,"Contratação de empresa especializada para a aquisição de materiais eletrônicos e elétricos para a Diretoria de Comunicação Social (DICOM) da Câmara Legislativa do Distrito Federal (CLDF), de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital, proposta apresentada (SEI 1816418) e Termo de Homologação (SEI 1828645).",João Cesar Sampaio Neto / Franciane Meleu Ferreira,Cleidson de Oliveira Correira / Guilherme do Carmo Oliveira Feijó,,"PSG nº 247, de 01/11/2024, DCL nº 241, de 05/11/2024","466.000,00",2024-10-15,2025-10-14,encerrado,não,sim,2026-06-26T15:56:41
053-24,KAMALEAO TECNOLOGIA LTDA,52285726000111,cnpj,Pregão,"Contratação de empresa especializada para a aquisição de materiais eletrônicos e elétricos para a Diretoria de Comunicação Social (DICOM) da Câmara Legislativa do Distrito Federal (CLDF), de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital, proposta apresentada (SEI 1816406) e Termo de Homologação (SEI 1828645).",Guilherme do Carmo Oliveira Feijó / Valeria dos Santos Nascimento,Flavio Souza dos Santos / Ricardo Abrantes Vieira Lopes,,"PSG nº 248, de 01/11/2024, DCL nº 241, de 05/11/2024","169.079,45",2024-10-15,2025-10-14,encerrado,não,sim,2026-06-26T15:56:41
052-21,PROQUEST LATIN AMERICA SERVIÇOS E PRODUTOS PARA ACESSO À INFORMAÇÃO LTDA,05775256000194,cnpj,Inexigibilidade,Fornecimento de licença do protocolo de comunicação SIP2 (Standard Interface Protocol versão 2) para integração dos equipamentos do sistema de autoatendimento com identificação por radiofrequência - RFID e o software de gestão de bibliotecas ALEPH,Marcos Bizerra Costa/Arlene Cristina Souza Miranda,Rayrone Zirtany Nunes Marques,Cleide Cristina Soares,"PSG nº 123, de 17/05/2024, DCL nº 107, de 20/05/2024","13.597,46",2024-10-22,2025-10-21,encerrado,não,sim,2026-06-26T15:56:41
056-24,R & R EQUIPAMENTOS ELETRONICOS LTDA,10806106000130,cnpj,Pregão,"Contratação de empresa especializada para a aquisição de materiais eletrônicos e elétricos para a Diretoria de Comunicação Social (DICOM) da Câmara Legislativa do Distrito Federal (CLDF), de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital, proposta apresentada (SEI 1816412) e Termo de Homologação (SEI 1828645).",Guilherme do Carmo Oliveira Feijó / Valeria dos Santos Nascimento,Flavio Souza dos Santos / Ricardo Abrantes Vieira Lopes,,"PSG nº 249, de 01/11/2024, DCL nº 241, de 05/11/2024","474.080,37",2024-10-22,2025-10-21,encerrado,não,sim,2026-06-26T15:56:41
036-23,FAST HELP INFORMATICA LTDA,05889039000125,cnpj,Pregão,"Aquisição de solução tecnológica de segurança, proteção antivírus e endpoint detection response (EDR), incluindo licenças de uso, instalação, configuração, atualização da base de vacinas e software, treinamento e suporte técnico especializado pelo período contratado",Paulo Roberto Alves Gonzaga / Ornélio Oliveira dos Santos,Hugo Leite Florenço Maia / Ricardo Campos Silva,Thais Monteiro Predebon,"PSG nº 109, de 09/05/2024, DCL nº 100, de 13/05/2024","265.793,50",2024-10-25,2025-10-24,encerrado,não,sim,2026-06-26T15:56:41
056-21,GSA COMERCIO DE PRODUTOS GERAIS LTDA,41172341000121,cnpj,Dispensa,"Aquisição de impressora de cartão PVC (identificação funcional) e realização de serviços de manutenção, suporte técnico e atualização.",Carla Simone Seixo de Brito,Luiz Alberto Alves Ferreira,,"PSG nº 158, de 29/11/21, DCL nº 253, de 02/12/2021","9.137,19",2021-11-16,2025-10-26,encerrado,não,não,2026-06-26T15:56:41
040-20,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL - CAESB,26963645000113,cnpj,Dispensa,"Contratação da empresa para a prestação, de forma contínua por 60 (sessenta) meses, dos serviços de abastecimento de água potável e esgotamento sanitário para as dependências da CLDF.",,Osmar Rodrigues da Silva / Adão José de Azevedo,,"PSG nº 82, de 28/10/20, DCL nº 263, de 03/11/2020.","1.330.518,00",2020-11-04,2025-11-03,encerrado,não,não,2026-06-26T15:56:41
060-24,CLIMATICA ENGENHARIA LTDA,02604476000167,cnpj,Pregão,"Contratação de empresa especializada para prestação de serviço comum de engenharia, não contínuo, e com fornecimento de todos os materiais necessários, para readequação do espaço destinado ao Setor de Documentação e Arquivo (SEDA) no edifício sede da Câmara Legislativa do Distrito Federal, de acordo com as especificações e as exigências constantes no Termo de Referência  Anexo I do Edital.",Bairon Emiliano Pereira Da Silva / Luiz Marino Kuller,Eduardo Mioranza Vivan / Ana Carolina Fontes Rodrigues Panerai / Hugo Pierre Lapa / Marcelo Augusto Fernandes / Marcelo Ulisses Pimenta,,"PSG nº 261, de 13/11/2024, DCL nº 249 de 18/11/2024","376.200,00",2025-05-04,2025-11-03,encerrado,não,sim,2026-06-26T15:56:41
059-21,GENTE SEGURADORA S/A,90180605000102,cnpj,Pregão,Contratação de seguro predial do Edifício Sede da Câmara Legislativa do Distrito Federal.,,Yan Nunes R Costa / Kalincka de Gramont Freitas,,"PSG nº 91, de 11/04/23, DCL nº 81, de 14/04/2023","10.700,00",2024-11-20,2025-11-19,encerrado,não,sim,2026-06-26T15:56:41
